,forks_count,language,stargazers,topics,url,watchers_count
0,64002,C++,102092,"['deep-learning', 'deep-neural-networks', 'distributed', 'machine-learning', 'ml', 'neural-network', 'python', 'tensorflow']",https://api.github.com/repos/tensorflow/tensorflow,102092
1,11331,Python,30273,"['data-science', 'deep-learning', 'machine-learning', 'neural-networks', 'python', 'tensorflow']",https://api.github.com/repos/keras-team/keras,30273
2,14206,Python,28627,"['data-analysis', 'data-science', 'machine-learning', 'python', 'statistics']",https://api.github.com/repos/scikit-learn/scikit-learn,28627
3,14940,C++,24409,"['deep-learning', 'machine-learning', 'vision']",https://api.github.com/repos/BVLC/caffe,24409
4,8338,Jupyter Notebook,22789,"['deep-learning', 'examples', 'machine-learning', 'python', 'tensorflow', 'tutorial']",https://api.github.com/repos/aymericdamien/TensorFlow-Examples,22789
5,3976,,18973,"['artificial-intelligence', 'deep-learning', 'machine-learning', 'machine-learning-algorithms', 'software-engineer']",https://api.github.com/repos/ZuzooVn/machine-learning-for-software-engineers,18973
6,3868,C++,18938,"['lstm', 'machine-learning', 'ocr', 'ocr-engine', 'tesseract', 'tesseract-ocr']",https://api.github.com/repos/tesseract-ocr/tesseract,18938
7,2772,TeX,15063,"['deep-learning', 'deep-neural-networks', 'machine-learning']",https://api.github.com/repos/terryum/awesome-deep-learning-papers,15063
8,3873,C++,14589,"['c-plus-plus', 'c-sharp', 'cntk', 'cognitive-toolkit', 'deep-learning', 'deep-neural-networks', 'distributed', 'java', 'machine-learning', 'neural-network', 'python']",https://api.github.com/repos/Microsoft/CNTK,14589
9,5213,Python,14131,"['artificial-intelligence', 'deep-learning', 'deep-neural-networks', 'distributed-systems', 'machine-learning', 'mxnet']",https://api.github.com/repos/apache/incubator-mxnet,14131
10,3243,Python,14096,"['face-detection', 'face-recognition', 'machine-learning', 'python']",https://api.github.com/repos/ageitgey/face_recognition,14096
11,3693,Python,12746,"['aws', 'big-data', 'caffe', 'data-science', 'deep-learning', 'hadoop', 'kaggle', 'keras', 'machine-learning', 'mapreduce', 'matplotlib', 'numpy', 'pandas', 'python', 'scikit-learn', 'scipy', 'spark', 'tensorflow', 'theano']",https://api.github.com/repos/donnemartin/data-science-ipython-notebooks,12746
12,2620,,11957,"['deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'oxford']",https://api.github.com/repos/oxford-cs-deepnlp-2017/lectures,11957
13,1362,,11810,"['algorithms', 'bioinformatics', 'computer-architecture', 'computer-science', 'computer-vision', 'database-systems', 'databases', 'embedded-systems', 'machine-learning', 'programming-language', 'robotics', 'security', 'systems', 'web-development']",https://api.github.com/repos/Developer-Y/cs-video-courses,11810
14,4462,,11202,"['awesome', 'deep-learning', 'distributed', 'distributed-computing', 'distributed-systems', 'go', 'machine-learning', 'postgresql']",https://api.github.com/repos/ty4z2008/Qix,11202
15,2371,Julia,11192,"['high-performance-computing', 'julia', 'julia-language', 'machine-learning', 'numerical-computation', 'programming-language', 'scientific-computing']",https://api.github.com/repos/JuliaLang/julia,11192
16,2163,,9647,"['artificial-intelligence', 'deep-learning', 'keras', 'machine-learning', 'matplotlib', 'numpy', 'scipy']",https://api.github.com/repos/kailashahirwar/cheatsheets-ai,9647
17,1504,Python,9515,"['ai', 'artificial-intelligence', 'big-data', 'cython', 'data-science', 'deep-learning', 'machine-learning', 'natural-language-processing', 'neural-network', 'neural-networks', 'nlp', 'nlp-library', 'python', 'spacy']",https://api.github.com/repos/explosion/spaCy,9515
18,2639,,9051,"['awesome', 'awesome-list', 'deep-learning', 'deep-learning-tutorial', 'deep-networks', 'face-images', 'machine-learning', 'neural-network', 'recurrent-networks']",https://api.github.com/repos/ChristosChristofidis/awesome-deep-learning,9051
19,363,C#,8592,"['algorithm', 'c-sharp', 'gamedev', 'machine-learning', 'procedural-generation', 'wfc']",https://api.github.com/repos/mxgmn/WaveFunctionCollapse,8592
20,3147,Jupyter Notebook,8555,"['data-mining', 'data-science', 'logistic-regression', 'machine-learning', 'machine-learning-algorithms', 'neural-network', 'python', 'scikit-learn']",https://api.github.com/repos/rasbt/python-machine-learning-book,8555
21,1219,Python,8323,"['data-mining', 'data-science', 'deep-learning', 'deep-reinforcement-learning', 'genetic-algorithm', 'machine-learning', 'machine-learning-from-scratch']",https://api.github.com/repos/eriklindernoren/ML-From-Scratch,8323
22,1444,,8270,"['courses', 'data-science', 'deep-learning', 'diy', 'ipython-notebook', 'jupyter-notebook', 'learning', 'learning-by-doing', 'machine-learning', 'python', 'scikit-learn']",https://api.github.com/repos/hangtwenty/dive-into-machine-learning,8270
23,472,JavaScript,8174,"['ai', 'artificial-intelligence', 'big-data', 'blockchain', 'crdt', 'crypto', 'cryptography', 'database', 'decentralized', 'encrypted', 'end-to-end', 'graph', 'iot', 'machine-learning', 'ml', 'offline-first', 'p2p', 'peer-to-peer', 'protocol', 'realtime']",https://api.github.com/repos/amark/gun,8174
24,2020,Python,8142,"['data-science', 'deep-learning', 'machine-learning', 'neural-network', 'tensorflow', 'tflearn']",https://api.github.com/repos/tflearn/tflearn,8142
25,2387,,8054,"['analytics', 'awesome-list', 'data-mining', 'data-science', 'data-scientists', 'data-visualization', 'deep-learning', 'machine-learning', 'science']",https://api.github.com/repos/bulutyazilim/awesome-datascience,8054
26,1963,C++,8023,"['ai', 'artificial-intelligence', 'caffe2', 'deep-learning', 'deep-neural-networks', 'machine-learning', 'ml']",https://api.github.com/repos/caffe2/caffe2,8023
27,3988,Jupyter Notebook,7771,"['deep-learning', 'distributed', 'jupyter-notebook', 'machine-learning', 'ml', 'neural-network', 'python', 'scikit-learn', 'tensorflow']",https://api.github.com/repos/ageron/handson-ml,7771
28,407,JavaScript,7639,"['deep-learning', 'deep-neural-network', 'gpu-acceleration', 'javascript', 'machine-learning', 'neural-network', 'typescript', 'webgl']",https://api.github.com/repos/tensorflow/tfjs,7639
29,773,TypeScript,7572,"['deep-learning', 'deep-neural-networks', 'gpu-acceleration', 'javascript', 'machine-learning', 'neural-network', 'typescript', 'webgl']",https://api.github.com/repos/tensorflow/tfjs-core,7572
30,2092,,7482,"['awesome', 'awesome-list', 'deep-learning', 'deep-learning-tutorial', 'deep-neural-networks', 'deeplearning', 'list', 'machine-learning', 'machinelearning', 'neural-network', 'neural-networks']",https://api.github.com/repos/ujjwalkarn/Machine-Learning-Tutorials,7482
31,1923,C++,7450,"['caffe', 'computer-vision', 'cpp', 'cpp11', 'cvpr-2017', 'deep-learning', 'human-behavior-understanding', 'human-pose-estimation', 'machine-learning', 'multi-threading', 'opencv', 'openpose', 'real-time']",https://api.github.com/repos/CMU-Perceptual-Computing-Lab/openpose,7450
32,722,,7312,"['deep-learning', 'ebook', 'machine-learning', 'neural-network', 'tensorflow']",https://api.github.com/repos/vahidk/EffectiveTensorflow,7312
33,2742,Python,7122,"['data-mining', 'data-science', 'document-similarity', 'fasttext', 'gensim', 'information-retrieval', 'machine-learning', 'natural-language-processing', 'neural-network', 'nlp', 'python', 'text-summarization', 'topic-modeling', 'word-embeddings', 'word-similarity', 'word2vec']",https://api.github.com/repos/RaRe-Technologies/gensim,7122
34,1120,C++,6944,"['deep-learning', 'machine-learning', 'neural-networks', 'speech-recognition', 'speech-to-text', 'tensorflow']",https://api.github.com/repos/mozilla/DeepSpeech,6944
35,1070,Python,6747,"['deep-learning', 'machine-learning', 'machine-learning-algorithms', 'neural-networks', 'python']",https://api.github.com/repos/rushter/MLAlgorithms,6747
36,612,C++,6725,"['deep-learning', 'machine-learning', 'python-library']",https://api.github.com/repos/apple/turicreate,6725
37,1862,Python,6496,"['machine-learning', 'natural-language-processing', 'nlp', 'nltk', 'python']",https://api.github.com/repos/nltk/nltk,6496
38,2928,Python,6450,"['chatbot', 'course-materials', 'deep-learning', 'machine-learning', 'natural-language-processing', 'nlp', 'stanford', 'tensorflow', 'tutorial']",https://api.github.com/repos/chiphuyen/stanford-tensorflow-tutorials,6450
39,1238,Python,6310,"['machine-learning', 'natural-language-processing', 'network-analysis', 'python', 'sentiment-analysis', 'web-mining', 'wordnet']",https://api.github.com/repos/clips/pattern,6310
40,2166,Python,6082,"['chatbot', 'chatterbot', 'conversation', 'language', 'machine-learning', 'python']",https://api.github.com/repos/gunthercox/ChatterBot,6082
41,1017,,5965,"['awesome', 'awesome-list', 'deep-learning', 'language', 'machine-learning', 'natural-language-processing', 'nlp', 'text-mining']",https://api.github.com/repos/keon/awesome-nlp,5965
42,801,PHP,5849,"['artificial-intelligence', 'classification', 'cross-validation', 'data-science', 'feature-extraction', 'machine-learning', 'neural-network', 'php']",https://api.github.com/repos/php-ai/php-ml,5849
43,1537,C++,5696,"['data-mining', 'decision-trees', 'distributed', 'gbdt', 'gbm', 'gbrt', 'gradient-boosting', 'kaggle', 'lightgbm', 'machine-learning', 'microsoft', 'parallel', 'python', 'r']",https://api.github.com/repos/Microsoft/LightGBM,5696
44,527,Python,5653,"['aws', 'aws-cli', 'aws-sdk', 'cloud', 'cloud-management', 'cloudformation', 'cloudwatch', 'dynamodb', 'ec2', 'ecs', 'elasticsearch', 'iam', 'kinesis', 'lambda', 'machine-learning', 'rds', 'redshift', 'route53', 's3', 'serverless']",https://api.github.com/repos/donnemartin/awesome-aws,5653
45,531,Swift,5358,"['artificial-intelligence', 'deep-learning', 'ios', 'machine-learning', 'macos', 'ocr', 'swift']",https://api.github.com/repos/Swift-AI/Swift-AI,5358
46,300,HTML,5243,"['activity-stream', 'algolia-api', 'create-react-app', 'electron', 'electron-app', 'express', 'feed', 'getstream', 'machine-learning', 'newsfeed', 'personalization', 'podcast', 'podcast-client', 'podcasts', 'react', 'react-native', 'redux', 'rss', 'rss-reader']",https://api.github.com/repos/GetStream/Winds,5243
47,1715,Jupyter Notebook,5227,"['deep-learning', 'machine-learning', 'pytorch']",https://api.github.com/repos/fastai/fastai,5227
48,1520,C++,5060,"['c-plus-plus', 'computer-vision', 'deep-learning', 'machine-learning', 'machine-learning-library', 'python']",https://api.github.com/repos/davisking/dlib,5060
49,912,Python,4945,"['cnn', 'computer-vision', 'deep-learning', 'machine-learning', 'opencv']",https://api.github.com/repos/Hironsan/BossSensor,4945
50,645,Python,4616,"['blizzard-api', 'deepmind', 'machine-learning', 'reinforcement-learning', 'starcraft-ii', 'starcraft-ii-replays']",https://api.github.com/repos/deepmind/pysc2,4616
51,462,Python,4596,"['caffe', 'image-classification', 'machine-learning', 'neural-network', 'tutorial']",https://api.github.com/repos/humphd/have-fun-with-machine-learning,4596
52,2088,Jupyter Notebook,4392,"['deep-learning', 'machine-learning', 'neural-network', 'python-notebook', 'reinforcement-learning', 'tensorflow', 'tutorial', 'youtube']",https://api.github.com/repos/Hvass-Labs/TensorFlow-Tutorials,4392
53,521,Jupyter Notebook,4358,"['data-visualization', 'machine-learning']",https://api.github.com/repos/PAIR-code/facets,4358
54,404,Jupyter Notebook,4295,"['artificial-intelligence', 'computer-vision', 'framework', 'machine-learning', 'python', 'video-games']",https://api.github.com/repos/SerpentAI/SerpentAI,4295
55,1018,Python,4218,"['data-science', 'machine-learning']",https://api.github.com/repos/rushter/data-science-blogs,4218
56,981,Jupyter Notebook,4183,"['deep-learning', 'machine-learning', 'machine-translation', 'reinforcement-learning', 'tpu']",https://api.github.com/repos/tensorflow/tensor2tensor,4183
57,1103,C++,4156,"['c-plus-plus', 'deep-learning', 'machine-learning', 'neural-network']",https://api.github.com/repos/tiny-dnn/tiny-dnn,4156
58,705,Python,4131,"['automated-machine-learning', 'automation', 'automl', 'data-science', 'feature-engineering', 'gradient-boosting', 'hyperparameter-optimization', 'machine-learning', 'model-selection', 'parameter-tuning', 'python', 'random-forest', 'scikit-learn', 'xgboost']",https://api.github.com/repos/EpistasisLab/tpot,4131
59,335,JavaScript,4103,"['deep-learning', 'javascript', 'machine-learning', 'neural-network', 'reinforcement-learning', 'self-driving-car']",https://api.github.com/repos/janhuenermann/neurojs,4103
60,393,JavaScript,4097,"['deep-learning', 'javascript', 'keras', 'machine-learning', 'neural-networks', 'tensorflow', 'webgl']",https://api.github.com/repos/transcranial/keras-js,4097
61,974,Python,3891,"['a3c', 'artificial-intelligence', 'chatbot', 'data-science', 'deep-learning', 'dqn', 'gan', 'google', 'imagenet', 'machine-learning', 'neural-network', 'object-detection', 'python', 'reinforcement-learning', 'tensorflow', 'tensorflow-tutorial', 'tensorflow-tutorials', 'tensorlayer']",https://api.github.com/repos/tensorlayer/tensorlayer,3891
62,958,Jupyter Notebook,3887,"['autoencoder', 'book', 'classification', 'clustering', 'convolutional-neural-networks', 'linear-regression', 'logistic-regression', 'machine-learning', 'regression', 'reinforcement-learning', 'tensorflow']",https://api.github.com/repos/BinRoot/TensorFlow-Book,3887
63,1025,Python,3863,"['chainer', 'cuda', 'cudnn', 'cupy', 'deep-learning', 'gpu', 'machine-learning', 'neural-network', 'neural-networks', 'numpy', 'python']",https://api.github.com/repos/chainer/chainer,3863
64,1859,C++,3839,"['artificial-intelligence', 'computer-vision', 'machine-learning', 'plate-recognition', 'unconstrained-situation']",https://api.github.com/repos/liuruoze/EasyPR,3839
65,762,Java,3832,"['awesome', 'awesome-list', 'java-api', 'java-applications', 'java-frameworks', 'java-libraries', 'java-links', 'lists', 'machine-learning', 'resources']",https://api.github.com/repos/Vedenin/useful-java-links,3832
66,1274,HTML,3826,"['coursera', 'machine-learning']",https://api.github.com/repos/fengdu78/Coursera-ML-AndrewNg-Notes,3826
67,323,Python,3815,"['computer-vision', 'deep-learning', 'machine-learning', 'neural-network', 'python', 'tensorflow']",https://api.github.com/repos/astorfi/TensorFlow-World,3815
68,779,,3810,"['artificial-intelligence', 'deep-learning', 'intelligent-machines', 'intelligent-systems', 'machine-intelligence', 'machine-learning', 'reinforcement-learning']",https://api.github.com/repos/owainlewis/awesome-artificial-intelligence,3810
69,1196,Jupyter Notebook,3685,"['data-analysis', 'data-science', 'evolutionary-algorithm', 'ipython-notebook', 'machine-learning', 'python']",https://api.github.com/repos/rhiever/Data-Analysis-and-Machine-Learning-Projects,3685
70,649,Jupyter Notebook,3620,"['bayesian-methods', 'data-science', 'deep-learning', 'machine-learning', 'neural-networks', 'probabilistic-programming', 'statistics', 'tensorflow']",https://api.github.com/repos/blei-lab/edward,3620
71,361,Jupyter Notebook,3598,"['bayesian', 'bayesian-inference', 'machine-learning', 'probabilistic-modeling', 'probabilistic-programming', 'python', 'pytorch', 'variational-inference']",https://api.github.com/repos/uber/pyro,3598
